station,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,feel,date,time
EGAA,8.0,6.0,87.19,240.0,6.687772,0.0,0.7485379999999999,,6.21,,4.5,20220103,12:20
EGAA,7.0,6.0,93.35,320.0,3.601108,0.0,0.7485379999999999,,1.86,,4.5,20220103,12:50
EGAA,6.0,6.0,100.0,350.0,5.14444,0.0,0.7485379999999999,,4.97,,2.5,20220103,13:20
EGAA,6.0,5.0,93.3,10.0,5.6588840000000005,0.0,0.7493,,6.21,,2.3,20220103,13:50
EGAA,5.0,4.0,93.24,20.0,4.629996,0.0,0.7493,,6.21,,1.5,20220103,14:20
EGAA,5.0,3.0,86.89,20.0,5.14444,0.0,0.7493,,6.21,,1.2,20220103,14:50
EGAA,5.0,3.0,86.89,20.0,5.6588840000000005,0.0,0.750062,,6.21,,1.0,20220103,15:20
EGAA,4.0,2.0,86.79,20.0,4.115552,0.0,0.750062,,6.21,,0.5,20220103,15:50
EGAA,4.0,1.0,80.79,20.0,6.687772,0.0,0.750062,,6.21,,-0.7,20220103,16:20
EGAA,4.0,1.0,80.79,20.0,6.687772,0.0,0.7508239999999999,,6.21,,-0.7,20220103,16:50
EGAA,4.0,0.0,75.16,30.0,6.173328,0.0,0.7508239999999999,,6.21,,-0.5,20220103,17:20
EGAA,3.0,-1.0,74.98,30.0,5.6588840000000005,0.0,0.7508239999999999,,6.21,,-1.5,20220103,17:50
EGAA,4.0,-2.0,64.93,10.0,5.6588840000000005,0.0,0.7508239999999999,,6.21,,-0.2,20220103,18:20
EGAA,3.0,-2.0,69.67,10.0,5.6588840000000005,0.0,0.751586,,6.21,,-1.5,20220103,18:50
EGAA,3.0,-2.0,69.67,20.0,5.6588840000000005,0.0,0.751586,,6.21,,-1.5,20220103,19:20
EGAA,3.0,-2.0,69.67,20.0,4.629996,0.0,0.751586,,6.21,,-1.0,20220103,19:50
EGAA,3.0,-2.0,69.67,30.0,4.115552,0.0,0.751586,,6.21,,-0.7,20220103,20:20
EGAA,3.0,-2.0,69.67,30.0,5.14444,0.0,0.751586,,6.21,,-1.3,20220103,20:50
EGAA,3.0,-2.0,69.67,30.0,4.115552,0.0,0.751586,,6.21,,-0.7,20220103,21:20
EGAA,3.0,-2.0,69.67,10.0,3.086664,0.0,0.751586,,6.21,,0.0,20220103,21:50
EGAA,2.0,-2.0,74.8,10.0,3.086664,0.0,0.752348,,6.21,,-1.2,20220103,22:20
EGAA,1.0,-2.0,80.36,340.0,1.543332,0.0,0.752348,,6.21,,-0.7,20220103,22:50
EGAA,1.0,-2.0,80.36,350.0,2.57222,0.0,0.752348,,6.21,,-1.9,20220103,23:20
EGAA,1.0,-1.0,86.49,350.0,3.086664,0.0,0.752348,,4.35,,-2.4,20220103,23:50
EGAA,1.0,-1.0,86.49,360.0,1.028888,0.0,0.752348,,6.21,,1.0,20220104,00:20
EGAA,1.0,-1.0,86.49,340.0,2.57222,0.0,0.752348,,6.21,,-1.9,20220104,00:50
EGAA,0.0,-1.0,92.97,300.0,2.57222,0.0,0.752348,,6.21,,-3.1,20220104,01:20
EGAA,1.0,0.0,93.03,310.0,1.543332,0.0,0.752348,,6.21,,-0.7,20220104,01:50
EGAA,-1.0,-2.0,92.92,,1.028888,0.0,0.752348,,6.21,,-1.0,20220104,02:20
EGAA,0.0,-1.0,92.97,320.0,3.086664,0.0,0.752348,,6.21,,-3.6,20220104,02:50
EGAA,1.0,0.0,93.03,360.0,3.086664,0.0,0.752348,,6.21,,-2.4,20220104,03:20
EGAA,1.0,0.0,93.03,340.0,2.057776,0.0,0.75311,,6.21,,-1.4,20220104,03:50
EGAA,2.0,0.0,86.59,350.0,4.629996,0.0,0.75311,,6.21,,-2.2,20220104,04:20
EGAA,1.0,0.0,93.03,360.0,4.629996,0.0,0.753872,,3.73,9.774436,-3.5,20220104,04:50
EGAA,1.0,0.0,93.03,10.0,3.086664,0.0,0.75311,,6.21,,-2.4,20220104,05:20
EGAA,1.0,0.0,93.03,330.0,2.57222,0.0,0.75311,,6.21,,-1.9,20220104,05:50
EGAA,2.0,0.0,86.59,340.0,3.086664,0.0,0.753872,,6.21,,-1.2,20220104,06:20
EGAA,2.0,-1.0,80.51,330.0,3.601108,0.0,0.75311,,6.21,,-1.6,20220104,06:50
EGAA,2.0,-1.0,80.51,330.0,2.57222,0.0,0.753872,,6.21,,-0.7,20220104,07:20
EGAA,2.0,-1.0,80.51,320.0,2.057776,0.0,0.753872,,6.21,,-0.2,20220104,07:50
EGAA,2.0,0.0,86.59,20.0,4.629996,0.0,0.753872,,6.21,,-2.2,20220104,08:20
EGAA,2.0,0.0,86.59,340.0,5.6588840000000005,0.0,0.753872,,6.21,,-2.8,20220104,08:50
EGAA,2.0,0.0,86.59,310.0,4.115552,0.0,0.754634,,6.21,10.803324,-1.9,20220104,09:20
EGAA,2.0,0.0,86.59,350.0,5.14444,0.0,0.754634,,6.21,,-2.5,20220104,09:50
